date,tests,severe_cases,admited_cases,IVL,pct_positive_tests
1/26/2020 12:00:00 AM,3,0,0,0,0
1/27/2020 12:00:00 AM,1,0,0,0,0
1/28/2020 12:00:00 AM,0,0,0,0,0
1/29/2020 12:00:00 AM,3,0,0,0,0
1/30/2020 12:00:00 AM,4,0,0,0,0
1/31/2020 12:00:00 AM,0,0,0,0,0
2/1/2020 12:00:00 AM,0,0,0,0,0
2/2/2020 12:00:00 AM,7,0,0,0,0
2/3/2020 12:00:00 AM,7,0,0,0,0
2/4/2020 12:00:00 AM,6,0,0,0,0
2/5/2020 12:00:00 AM,0,0,0,0,0
2/6/2020 12:00:00 AM,0,0,0,0,0
2/7/2020 12:00:00 AM,0,0,0,0,0
2/8/2020 12:00:00 AM,0,0,0,0,0
2/9/2020 12:00:00 AM,40,0,0,0,0
2/10/2020 12:00:00 AM,28,0,0,0,0
2/11/2020 12:00:00 AM,50,0,0,0,0
2/12/2020 12:00:00 AM,35,0,0,0,0
2/13/2020 12:00:00 AM,35,0,0,0,0
2/14/2020 12:00:00 AM,30,0,0,0,0
2/15/2020 12:00:00 AM,3,0,0,0,0
2/16/2020 12:00:00 AM,23,0,0,0,0
2/17/2020 12:00:00 AM,41,0,0,0,0
2/18/2020 12:00:00 AM,46,0,0,0,0
2/19/2020 12:00:00 AM,34,0,0,0,0
2/20/2020 12:00:00 AM,29,0,0,0,0
2/21/2020 12:00:00 AM,37,0,2,0,0
2/22/2020 12:00:00 AM,13,0,2,0,0
2/23/2020 12:00:00 AM,56,0,2,0,0
2/24/2020 12:00:00 AM,76,0,2,0,0
2/25/2020 12:00:00 AM,108,0,2,0,0
2/26/2020 12:00:00 AM,108,0,2,0,0
2/27/2020 12:00:00 AM,171,0,3,0,0
2/28/2020 12:00:00 AM,119,0,5,0,0
2/29/2020 12:00:00 AM,159,0,5,0,0
3/1/2020 12:00:00 AM,188,0,7,0,0
3/2/2020 12:00:00 AM,171,0,11,0,0
3/3/2020 12:00:00 AM,235,0,10,0,0
3/4/2020 12:00:00 AM,129,0,11,0,0
3/5/2020 12:00:00 AM,174,1,13,0,0
3/6/2020 12:00:00 AM,275,2,16,1,0
3/7/2020 12:00:00 AM,336,3,20,2,0
3/8/2020 12:00:00 AM,421,5,26,4,0
3/9/2020 12:00:00 AM,518,6,39,5,0
3/10/2020 12:00:00 AM,520,6,59,5,0
3/11/2020 12:00:00 AM,402,7,81,6,0
3/12/2020 12:00:00 AM,608,7,103,6,0
3/13/2020 12:00:00 AM,697,7,123,6,0
3/14/2020 12:00:00 AM,614,6,162,4,0
3/15/2020 12:00:00 AM,1184,9,201,6,0
3/16/2020 12:00:00 AM,1345,11,221,7,0
3/17/2020 12:00:00 AM,1647,12,256,7,0
3/18/2020 12:00:00 AM,2108,16,306,7,0
3/19/2020 12:00:00 AM,2074,21,295,12,0
3/20/2020 12:00:00 AM,2321,23,289,12,0
3/21/2020 12:00:00 AM,2108,27,276,15,0
3/22/2020 12:00:00 AM,3350,37,323,22,0
3/23/2020 12:00:00 AM,3624,42,350,24,0
3/24/2020 12:00:00 AM,4789,45,394,26,0
3/25/2020 12:00:00 AM,5935,48,412,27,0
3/26/2020 12:00:00 AM,6504,54,464,31,0
3/27/2020 12:00:00 AM,5752,65,515,36,0
3/28/2020 12:00:00 AM,5739,69,512,39,0
3/29/2020 12:00:00 AM,7575,78,542,50,0
3/30/2020 12:00:00 AM,7100,87,618,54,0
3/31/2020 12:00:00 AM,7989,98,667,64,0
4/1/2020 12:00:00 AM,9010,111,769,72,0
4/2/2020 12:00:00 AM,10224,113,812,79,0
4/3/2020 12:00:00 AM,10329,129,803,92,0
4/4/2020 12:00:00 AM,6351,139,789,107,0
4/5/2020 12:00:00 AM,9395,135,825,106,0
4/6/2020 12:00:00 AM,7494,147,809,110,0
4/7/2020 12:00:00 AM,6968,159,744,106,0
4/8/2020 12:00:00 AM,5878,165,692,114,0
4/9/2020 12:00:00 AM,5743,166,665,117,0
4/10/2020 12:00:00 AM,7346,170,669,128,0
4/11/2020 12:00:00 AM,6702,182,626,130,0
4/12/2020 12:00:00 AM,10601,177,667,130,0
4/13/2020 12:00:00 AM,10949,192,687,137,0
4/14/2020 12:00:00 AM,12678,178,673,134,0
4/15/2020 12:00:00 AM,9449,180,672,133,0
4/16/2020 12:00:00 AM,12789,181,703,136,0
4/17/2020 12:00:00 AM,11596,166,664,125,0
4/18/2020 12:00:00 AM,10606,174,643,118,0
4/19/2020 12:00:00 AM,11479,157,619,118,0
4/20/2020 12:00:00 AM,15366,155,611,123,0
4/21/2020 12:00:00 AM,13612,145,543,119,0
4/22/2020 12:00:00 AM,13292,149,530,110,0
4/23/2020 12:00:00 AM,14183,146,501,114,0
4/24/2020 12:00:00 AM,12625,144,461,108,0
4/25/2020 12:00:00 AM,9078,136,441,107,0
4/26/2020 12:00:00 AM,8462,142,440,111,0
4/27/2020 12:00:00 AM,11367,133,411,102,0
4/28/2020 12:00:00 AM,10640,128,390,101,0
4/29/2020 12:00:00 AM,8996,121,376,96,0
4/30/2020 12:00:00 AM,9929,113,377,90,0
5/1/2020 12:00:00 AM,11050,111,350,89,0
5/2/2020 12:00:00 AM,5568,112,334,90,0
5/3/2020 12:00:00 AM,8028,102,323,84,0
5/4/2020 12:00:00 AM,9257,98,318,78,0
5/5/2020 12:00:00 AM,8956,92,276,72,0
5/6/2020 12:00:00 AM,9465,89,268,70,0
5/7/2020 12:00:00 AM,10118,85,257,71,0
5/8/2020 12:00:00 AM,8157,78,239,64,0
5/9/2020 12:00:00 AM,3868,78,239,64,0
5/10/2020 12:00:00 AM,4944,74,243,66,0
5/11/2020 12:00:00 AM,9217,69,226,60,0
5/12/2020 12:00:00 AM,7536,65,220,56,0
5/13/2020 12:00:00 AM,8270,61,198,53,0
5/14/2020 12:00:00 AM,8415,61,188,52,0
5/15/2020 12:00:00 AM,5694,61,182,52,0
5/16/2020 12:00:00 AM,1502,60,178,51,0
5/17/2020 12:00:00 AM,4633,55,186,45,0
5/18/2020 12:00:00 AM,7692,52,171,43,0
5/19/2020 12:00:00 AM,7141,51,159,40,0
5/20/2020 12:00:00 AM,5968,46,153,41,0
5/21/2020 12:00:00 AM,6167,47,149,37,0
5/22/2020 12:00:00 AM,4996,47,145,37,0
5/23/2020 12:00:00 AM,717,47,148,37,0
5/24/2020 12:00:00 AM,3809,43,146,34,0
5/25/2020 12:00:00 AM,5331,41,130,29,0
5/26/2020 12:00:00 AM,6818,36,121,32,0
5/27/2020 12:00:00 AM,6728,39,119,37,0
5/28/2020 12:00:00 AM,5354,36,111,34,0
5/29/2020 12:00:00 AM,1863,39,115,37,0
5/30/2020 12:00:00 AM,1058,35,119,33,0
5/31/2020 12:00:00 AM,5641,35,122,31,0
6/1/2020 12:00:00 AM,8157,34,123,30,0
6/2/2020 12:00:00 AM,11757,29,119,29,0
6/3/2020 12:00:00 AM,13209,28,114,25,0
6/4/2020 12:00:00 AM,14898,30,122,23,0
6/5/2020 12:00:00 AM,16473,29,116,23,0
6/6/2020 12:00:00 AM,11537,29,111,21,0
6/7/2020 12:00:00 AM,15097,29,120,23,0
6/8/2020 12:00:00 AM,14644,30,130,23,0
6/9/2020 12:00:00 AM,15057,31,130,24,0
6/10/2020 12:00:00 AM,18481,32,133,24,0
6/11/2020 12:00:00 AM,15810,35,138,24,0
6/12/2020 12:00:00 AM,13131,34,138,25,0
6/13/2020 12:00:00 AM,6979,35,138,26,0
6/14/2020 12:00:00 AM,8839,32,146,23,0
6/15/2020 12:00:00 AM,14433,36,157,25,0
6/16/2020 12:00:00 AM,16233,38,159,26,0
6/17/2020 12:00:00 AM,16019,36,156,29,0
6/18/2020 12:00:00 AM,17367,39,182,28,0
6/19/2020 12:00:00 AM,12764,39,185,29,0
6/20/2020 12:00:00 AM,6009,40,208,28,0
6/21/2020 12:00:00 AM,9148,45,243,29,0
6/22/2020 12:00:00 AM,14006,44,227,29,0
6/23/2020 12:00:00 AM,19842,40,213,26,0
6/24/2020 12:00:00 AM,18391,45,213,27,0
6/30/2020 12:00:00 AM,20148,56,235,27,0
7/1/2020 12:00:00 AM,20830,59,240,23,0
7/2/2020 12:00:00 AM,24226,71,260,25,0
7/3/2020 12:00:00 AM,20454,82,280,28,0
7/4/2020 12:00:00 AM,16245,84,320,30,0
7/5/2020 12:00:00 AM,18141,91,354,32,0
7/6/2020 12:00:00 AM,19420,88,349,35,0
7/7/2020 12:00:00 AM,25127,86,357,34,0
7/8/2020 12:00:00 AM,28136,113,405,39,0
7/9/2020 12:00:00 AM,29271,122,434,39,0
7/10/2020 12:00:00 AM,29741,130,465,42,0
7/11/2020 12:00:00 AM,25256,134,471,49,0
7/12/2020 12:00:00 AM,20249,151,514,47,0
7/13/2020 12:00:00 AM,21556,186,514,54,0
7/14/2020 12:00:00 AM,29171,183,529,56,0
7/15/2020 12:00:00 AM,31400,204,556,57,0
7/16/2020 12:00:00 AM,30509,202,542,58,0
7/17/2020 12:00:00 AM,30965,208,577,56,0
7/18/2020 12:00:00 AM,25058,217,589,56,0
7/19/2020 12:00:00 AM,20431,252,670,70,0
7/20/2020 12:00:00 AM,19727,264,664,80,0
7/21/2020 12:00:00 AM,29079,259,634,82,0
7/22/2020 12:00:00 AM,30176,273,665,78,0
7/23/2020 12:00:00 AM,28718,301,701,82,0
7/24/2020 12:00:00 AM,31761,308,699,84,0
7/25/2020 12:00:00 AM,23153,310,704,93,0
7/26/2020 12:00:00 AM,12119,317,739,104,0
7/27/2020 12:00:00 AM,26983,321,760,97,9
7/28/2020 12:00:00 AM,28225,314,739,97,8.3
7/29/2020 12:00:00 AM,26193,328,747,99,7.7
7/30/2020 12:00:00 AM,26216,328,749,102,8.4
7/31/2020 12:00:00 AM,21831,320,734,98,6.1
8/1/2020 12:00:00 AM,22889,328,751,96,8.4
8/2/2020 12:00:00 AM,9953,344,778,101,7.2
8/3/2020 12:00:00 AM,22396,349,761,97,8
8/4/2020 12:00:00 AM,24786,355,745,97,7.1
8/5/2020 12:00:00 AM,25457,345,768,100,6.8
8/6/2020 12:00:00 AM,28382,374,776,106,6.1
8/7/2020 12:00:00 AM,28695,369,776,109,6.8
8/8/2020 12:00:00 AM,8587,394,859,118,9.4
8/9/2020 12:00:00 AM,12151,397,843,118,7.9
8/10/2020 12:00:00 AM,22833,381,812,110,7.5
8/11/2020 12:00:00 AM,26433,379,780,109,7
8/12/2020 12:00:00 AM,25030,386,760,114,6.7
8/13/2020 12:00:00 AM,27919,377,767,110,6.1
8/14/2020 12:00:00 AM,28871,375,783,108,6.1
8/15/2020 12:00:00 AM,8919,388,853,116,10.4
8/16/2020 12:00:00 AM,11964,398,862,113,9.3
8/17/2020 12:00:00 AM,25228,410,827,113,6.9
8/18/2020 12:00:00 AM,27799,401,798,118,6.2
8/19/2020 12:00:00 AM,27522,403,799,110,6.2
8/20/2020 12:00:00 AM,28399,389,778,114,5.4
8/21/2020 12:00:00 AM,28876,390,764,116,5.3
8/22/2020 12:00:00 AM,10795,408,864,112,7
8/23/2020 12:00:00 AM,13245,411,877,116,7.7
8/24/2020 12:00:00 AM,29987,424,877,120,6.6
8/25/2020 12:00:00 AM,33272,430,855,118,6.1
8/26/2020 12:00:00 AM,33382,428,858,124,6
8/27/2020 12:00:00 AM,36371,414,835,114,5.9
8/29/2020 12:00:00 AM,10594,441,892,121,9
8/30/2020 12:00:00 AM,13320,453,917,123,8.7
8/31/2020 12:00:00 AM,30853,438,878,119,7.4
9/1/2020 12:00:00 AM,27920,423,864,114,8.1
9/2/2020 12:00:00 AM,34324,426,855,124,9.6
9/3/2020 12:00:00 AM,34586,416,828,123,8.3
9/4/2020 12:00:00 AM,31601,439,877,128,8.5
9/5/2020 12:00:00 AM,15837,445,930,119,9.8
9/6/2020 12:00:00 AM,19353,476,934,137,12.3
9/7/2020 12:00:00 AM,41434,454,936,143,7.8
9/8/2020 12:00:00 AM,44546,472,930,140,8.1
9/9/2020 12:00:00 AM,44969,487,961,137,9
9/10/2020 12:00:00 AM,48597,482,991,149,8.8
9/11/2020 12:00:00 AM,48601,486,979,146,9
9/12/2020 12:00:00 AM,30253,490,1028,130,9.3
9/13/2020 12:00:00 AM,34860,540,1111,135,9.4
9/14/2020 12:00:00 AM,47509,533,1152,140,10.8
9/15/2020 12:00:00 AM,57165,535,1153,138,9.9
9/16/2020 12:00:00 AM,52597,549,1163,140,8.8
9/17/2020 12:00:00 AM,56986,577,1190,153,9.4
9/18/2020 12:00:00 AM,57971,581,1195,158,10.0
9/19/2020 12:00:00 AM,53993,604,1244,165,9.1
9/20/2020 12:00:00 AM,24469,651,1348,160,10.9
9/21/2020 12:00:00 AM,34400,668,1352,159,11.6
9/22/2020 12:00:00 AM,61165,634,1341,171,11.7
9/23/2020 12:00:00 AM,54364,667,1375,164,12.3
9/24/2020 12:00:00 AM,63342,700,1390,176,12.8
9/25/2020 12:00:00 AM,66640,708,1386,178,13.7
9/26/2020 12:00:00 AM,45016,749,1512,200,13.0
9/28/2020 12:00:00 AM,8206,799,1585,200,15.0
9/29/2020 12:00:00 AM,34436,810,1547,205,15.0
9/30/2020 12:00:00 AM,68128,810,1554,206,13.6
10/1/2020 12:00:00 AM,65899,839,1569,203,12.1
10/2/2020 12:00:00 AM,62062,840,1568,224,11.8
10/3/2020 12:00:00 AM,25144,891,1666,223,11.0
10/4/2020 12:00:00 AM,26332,878,1624,215,11.8
10/5/2020 12:00:00 AM,52177,895,1656,224,11.4
10/6/2020 12:00:00 AM,46997,880,1618,240,10.5
10/7/2020 12:00:00 AM,49114,878,1632,240,8.9
10/8/2020 12:00:00 AM,48806,865,1592,244,7.9
10/9/2020 12:00:00 AM,37308,838,1540,237,8.3
10/10/2020 12:00:00 AM,13404,850,1577,233,7.3
10/11/2020 12:00:00 AM,22883,837,1541,243,7.7
10/12/2020 12:00:00 AM,47257,826,1480,254,7.0
10/13/2020 12:00:00 AM,44465,780,1428,244,5.5
10/14/2020 12:00:00 AM,40491,739,1349,247,5.5
10/15/2020 12:00:00 AM,37487,716,1245,244,4.6
10/16/2020 12:00:00 AM,34642,690,1210,239,4.5